Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
10-Feb-22,BHARTIARTL,724.05,719.35,0.0065,0.0196,0.0196,0.3745
10-Feb-22,BHEL,57.05,55.7,0.0239,0.0325,0.0325,0.6209
10-Feb-22,BIGBLOC,84.2,80.3,0.0474,0.0395,0.0396,0.7566
10-Feb-22,BIL,291.15,286.5,0.0161,0.0376,0.0375,0.7164
10-Feb-22,BINDALAGRO,27.7,27.85,-0.0054,0.0443,0.0442,0.8444
10-Feb-22,BIOCON,403.7,407.25,-0.0088,0.0233,0.0233,0.4451
10-Feb-22,BIOFILCHEM,70.45,73.25,-0.039,0.0394,0.0394,0.7527
10-Feb-22,BIRET,309.69,312.83,-0.0101,0.0099,0.0099,0.1891
10-Feb-22,BIRLACABLE,128.8,115.45,0.1094,0.0346,0.0353,0.6744
10-Feb-22,BIRLACORPN,1276.4,1292.1,-0.0122,0.0273,0.0273,0.5216
10-Feb-22,BIRLAMONEY,70.85,71.95,-0.0154,0.0339,0.0338,0.6457
10-Feb-22,BIRLATYRE,24.7,24.8,-0.004,0.0308,0.0307,0.5865
10-Feb-22,BIUL,58,58,0,0,0,0
10-Feb-22,BKMINDST,2.9,3.05,-0.0504,0.0432,0.0432,0.8253
10-Feb-22,BLBLIMITED,23.5,24.7,-0.0498,0.0421,0.0421,0.8043
10-Feb-22,BLISSGVS,92.95,93.65,-0.0075,0.0299,0.0298,0.5693
10-Feb-22,BLKASHYAP,27.65,27.95,-0.0108,0.0379,0.0378,0.7222
10-Feb-22,BLS,242.35,238.95,0.0141,0.0413,0.0412,0.7871
10-Feb-22,BLUEDART,6608.4,6708.3,-0.015,0.0217,0.0216,0.4127
10-Feb-22,BLUESTARCO,1044.35,1029.2,0.0146,0.0192,0.0192,0.3668
10-Feb-22,BODALCHEM,116.6,118.15,-0.0132,0.0302,0.0302,0.577
10-Feb-22,BOMDYEING,124,118.8,0.0428,0.0332,0.0333,0.6362
10-Feb-22,BOROLTD,369,365,0.0109,0.0356,0.0355,0.6782
10-Feb-22,BORORENEW,644.2,660.15,-0.0245,0.0365,0.0365,0.6973
10-Feb-22,BOSCHLTD,16634.7,16220.15,0.0252,0.0212,0.0212,0.405
10-Feb-22,BPCL,369.65,370.6,-0.0026,0.0206,0.0205,0.3917
10-Feb-22,BPL,62.9,63.1,-0.0032,0.0404,0.0403,0.7699
